id,judge_score
itwgpt4/27693,0.3
unified_chip2/30565,0.9
unified_chip2/1357,0.4
unified_chip2/126603,0.6
hotpotqa-e7875d33cdf7138818681e7bb2a13310bba28ea94550d64f,0.7
unified_chip2/124946,0.9
unified_chip2/19898,0.8
itwgpt4/25150,0.4
itwgpt4/50573,0.4
unified_chip2/99757,0.8
unified_chip2/120318,0.95
unified_chip2/47590,0.9
unified_chip2/74483,0.9
unified_chip2/159892,0.5
itwgpt4/51559,0.4
trec-d282453f8c0d073dbaec6ed9d7feb7a244d73c2c54e4c9fb,0.0
unified_chip2/110417,0.9
unified_chip2/19326,0.9
sharegpt/ykpHuUJ_0,0.1
unified_chip2/34732,0.9
itwgpt4/48408,0.4
multi_news-1fb2491dae07f8c4874240e388bc27c7061b49911f56ba9a,0.0
unified_chip2/47957,0.4
itwgpt4/10061,0.7
unified_chip2/46083,0.9
musique-e956e4868d588132bd2de1926dc446d0975c2d7a45090cad,0.9
unified_chip2/81121,0.9
qmsum-0ffea9decbc25e92599ad21fc51af41c3eda24d9ee355524,
hotpotqa-ec3b5bcfa070b047c769413b99a2f32e4f5d2f803cf81a43,0.4
unified_chip2/93662,0.95
unified_chip2/17312,1.0
unified_chip2/13722,0.8
itwgpt4/21544,0.4
gov_report-cef812f3c41935467814666961515098228f2ad4cc16f9b1,0.1
unified_chip2/101249,0.9
sharegpt/1xtK8kl_0,0.4
unified_chip2/148427,0.2
qasper-f27a64d129091a6c8973c001ff789b8f68955b8ff0ae70af,0.2
dolly_15k/classification/557,0.3
unified_chip2/109128,0.4
unified_chip2/152526,0.9
unified_chip2/74696,0.7
unified_chip2/160078,0.9
unified_chip2/56335,0.4
itwgpt4/51167,0.9
unified_chip2/137906,0.6
itwgpt4/32486,0.9
passage_retrieval_en-803a8ee56e14440e185aaf0eb0f82b9f060cb70b4b074311,0.1
itwgpt4/39884,0.9
unified_chip2/157359,0.7
dolly_15k/general_qa/1855,0.7
gov_report-81e845f35acd55c1f6b4edda428a0a52fd22bade5be9cf13,0.1
itwgpt4/29583,0.1
sharegpt/ePfYDcm_0,0.4
unified_chip2/32354,0.7
trec-69dc977e188f73a5006e3e40169f49d0970ccac9bb014727,0.0
unified_chip2/51405,0.1
itwgpt4/44682,0.9
sharegpt/gUVBFB8_0,0.3
unified_chip2/12968,0.2
dolly_15k/open_qa/3324,0.8
dolly_15k/classification/321,0.7
itwgpt4/48111,0.3
unified_chip2/72760,0.9
unified_chip2/22000,0.3
unified_chip2/38921,0.9
multifieldqa_en-69ea47e54e2cedec193247f452f5d3bbef2566a93f1dd353,0.1
unified_chip2/37773,0.3
unified_chip2/134398,0.3
unified_chip2/26270,0.95
unified_chip2/22612,0.2
dolly_15k/classification/1425,0.4
itwgpt4/15032,0.9
hotpotqa-75f3798af3596cffefe8b932a00b1976f3f25fa0f42089fc,0.2
itwgpt4/21165,
unified_chip2/60533,0.95
unified_chip2/113150,0.3
unified_chip2/8018,0.4
unified_chip2/120579,0.4
itwgpt4/6371,0.6
musique-8f9aa7e502ca3fcd999cb05b87a6aa78ef4c4af96cbe3199,0.1
